,word,f1,f2,f3,f4,f5,f6,f7,number_of_letters,chatgpt_score_encoded,fasttext_A_sim,fasttext_B_sim,fasttext_C_sim
0,болу,28764,4604,9506,9549,7830,47880,788,4,0.0,0.41350755,0.42460105,0.3252523
1,ол,14143,5271,1711,7039,4358,30274,749,2,0.0,0.2268854,0.033967357,-0.04725003
2,мен,18249,4500,4650,4450,3146,23411,511,3,0.0,0.475992,0.42729157,0.38814613
3,мен,18249,4500,4650,4450,3146,23411,511,3,0.0,0.475992,0.42729157,0.38814613
4,мен,2953,162,2109,946,1697,4393,0,3,0.0,0.475992,0.42729157,0.38814613
5,мен,2953,162,2109,946,1697,4393,0,3,0.0,0.475992,0.42729157,0.38814613
6,деу,16392,329,5973,4498,2480,16528,755,3,0.0,0.25146958,0.24358432,0.22502619
7,алу,13294,3507,4382,2726,4231,15219,481,3,0.0,0.4310793,0.4458941,0.35209522
8,беру,9156,2679,3761,5808,2569,16322,167,4,1.0,0.41956976,0.44671088,0.37084785
9,және,15119,2389,1316,2757,307,17877,233,4,1.0,0.48533702,0.47327074,0.40565586
10,келу,5742,1257,2513,2155,3675,19184,294,4,0.0,0.30207855,0.31635818,0.24801679
11,де,6083,921,4063,3252,2587,17037,0,2,0.0,0.21475294,0.0744764,0.01574169
12,бұл,7293,869,2510,3203,1455,17520,276,3,0.0,0.55053264,0.542471,0.48178717
13,бұл,7293,869,2510,3203,1455,17520,276,3,0.0,0.55053264,0.542471,0.48178717
14,бұл,0,0,4,0,0,7,0,3,0.0,0.55053264,0.542471,0.48178717
15,бұл,0,0,4,0,0,7,0,3,0.0,0.55053264,0.542471,0.48178717
16,да,4033,953,4951,731,185,21256,228,2,0.0,0.2722111,0.11721032,0.05137423
17,жыл,3219,14582,662,3393,497,8529,260,3,0.0,0.43247834,0.32827756,0.25113836
18,бір,8768,327,3133,2355,1745,13960,433,3,0.0,0.6378047,0.5809452,0.49068904
19,бір,8768,327,3133,2355,1745,13960,433,3,0.0,0.6378047,0.5809452,0.49068904
20,бір,2958,916,2999,1945,987,4831,0,3,0.0,0.6378047,0.5809452,0.49068904
21,бір,2958,916,2999,1945,987,4831,0,3,0.0,0.6378047,0.5809452,0.49068904
22,өз,10976,1043,1224,4934,742,10675,0,2,0.0,0.19291992,0.036794998,-0.046101023
23,тұру,5910,429,4494,2475,3063,12272,143,4,1.0,0.33850804,0.34630057,0.28876197
24,сөз,7843,490,1066,1613,585,14510,74,3,0.0,0.490995,0.5080928,0.45553663
25,осы,2806,2509,1547,2635,1384,15114,78,3,0.0,0.5727508,0.52979136,0.4727573
26,адам,10575,1488,1587,1912,886,9166,367,4,1.0,0.4422807,0.3799114,0.27540958
27,қазақ,9741,76,232,1227,126,13667,172,5,1.0,0.50518763,0.48303753,0.484368
28,айту,4568,2228,3649,2724,3896,6356,112,4,1.0,0.35927248,0.35017428,0.3265412
29,білім,12612,984,50,769,57,8443,61,5,1.0,0.45980868,0.5056233,0.42319754
30,үшін,5717,2897,884,1912,1245,9943,151,4,1.0,0.5227094,0.4709374,0.3726987
31,кету,3353,145,4943,2096,2953,8615,109,4,1.0,0.3215769,0.31479514,0.31287143
32,ел,6875,860,854,2931,822,9756,80,2,0.0,0.17772481,0.04207184,-0.0067905043
33,отыру,3367,1225,2010,1683,1385,12368,117,5,1.0,0.35480952,0.33446494,0.2932785
34,қандай,13169,356,1110,924,1044,4775,37,6,1.0,0.5939579,0.57690394,0.49703848
35,екен,3366,25,2952,1994,2225,10766,85,4,1.0,0.3837506,0.37060812,0.29725656
36,біз,3466,58,1985,3164,1125,11469,207,3,0.0,0.46515536,0.41109344,0.39725167
37,біз,3466,58,1985,3164,1125,11469,207,3,0.0,0.46515536,0.41109344,0.39725167
38,біз,22,3,2,1,2,8,0,3,0.0,0.46515536,0.41109344,0.39725167
39,біз,22,3,2,1,2,8,0,3,0.0,0.46515536,0.41109344,0.39725167
40,сол,3524,389,2373,2309,1184,10753,8,3,0.0,0.50184625,0.44276735,0.40701437
41,сол,3524,389,2373,2309,1184,10753,8,3,0.0,0.50184625,0.44276735,0.40701437
42,сол,129,5,40,7,12,22,0,3,0.0,0.50184625,0.44276735,0.40701437
43,сол,129,5,40,7,12,22,0,3,0.0,0.50184625,0.44276735,0.40701437
44,жер,8193,68,1912,1791,1247,6400,141,3,0.0,0.37619373,0.37278375,0.34350944
45,тіл,1880,491,361,2680,257,13935,146,3,0.0,0.42776003,0.43615177,0.40400696
46,ету,3803,2388,1267,1624,723,9142,87,3,0.0,0.33795094,0.40360552,0.3221303
47,бала,6324,912,3415,1977,997,5084,240,4,1.0,0.5430875,0.48340723,0.38404164
48,ғана,9149,430,624,1068,54,7070,53,4,1.0,0.5649278,0.5108872,0.44173113
49,күн,4693,1857,3107,1653,808,6127,204,3,0.0,0.5306885,0.4484238,0.369067
50,емес,3973,671,1488,1820,1661,8625,104,4,1.0,0.5260917,0.5270148,0.47248104
51,жүру,2515,33,2628,1911,2107,7655,131,4,1.0,0.3408108,0.33765745,0.28492063
52,халық,6290,75,261,1893,193,7793,31,5,1.0,0.47818175,0.50049156,0.49077865
53,қалу,2974,251,2365,1737,1568,7347,145,4,1.0,0.31215292,0.3132798,0.2736331
54,бару,4194,688,2004,2655,1496,5119,123,4,0.0,0.3178714,0.3055786,0.22973438
55,бару,4194,688,2004,2655,1496,5119,123,4,0.0,0.3178714,0.3055786,0.22973438
56,бару,1,0,0,0,0,0,0,4,0.0,0.3178714,0.3055786,0.22973438
57,бару,1,0,0,0,0,0,0,4,0.0,0.3178714,0.3055786,0.22973438
58,жоқ,2665,58,648,1906,3069,7769,109,3,0.0,0.45894045,0.45658156,0.42740598
59,жасау,4946,713,743,1350,399,7372,109,5,1.0,0.41186222,0.40191415,0.31943187
60,жасау,4946,713,743,1350,399,7372,109,5,1.0,0.41186222,0.40191415,0.31943187
61,жасау,0,0,13,52,0,23,0,5,1.0,0.41186222,0.40191415,0.31943187
62,жасау,0,0,13,52,0,23,0,5,1.0,0.41186222,0.40191415,0.31943187
63,сен,4195,0,3360,730,3649,3411,89,3,0.0,0.41801238,0.39692745,0.33624956
64,не,4644,515,1729,992,2931,4362,69,2,0.0,0.21085447,0.05092676,0.0003512846
65,не,4644,515,1729,992,2931,4362,69,2,0.0,0.21085447,0.05092676,0.0003512846
66,не,864,51,80,39,166,282,0,2,0.0,0.21085447,0.05092676,0.0003512846
67,не,864,51,80,39,166,282,0,2,0.0,0.21085447,0.05092676,0.0003512846
68,бірақ,5795,448,1436,970,471,5500,178,5,1.0,0.4664377,0.4507056,0.39095384
69,ұлттық,8501,345,76,563,9,5009,21,6,1.0,0.48567933,0.5393931,0.51324165
70,керек,3173,688,1267,1582,1802,5794,163,5,1.0,0.43522087,0.40292275,0.31463653
71,жату,1882,488,2031,1524,803,7416,48,4,1.0,0.26854596,0.2534468,0.2609407
72,көру,2296,49,1859,1478,1733,6375,140,4,1.0,0.35214314,0.33306515,0.3098231
73,жұмыс,4184,385,310,1345,608,6924,104,5,1.0,0.39371392,0.36381742,0.26964065
74,екі,4332,413,1355,996,1331,5255,165,3,0.0,0.60523295,0.50969684,0.44107944
75,өлең,7011,0,385,991,175,4970,18,4,1.0,0.44500232,0.45192635,0.42972243
76,еңбек,3765,3815,208,924,128,4419,27,5,1.0,0.44441533,0.476648,0.37364134
77,бар,3089,684,1657,1642,1490,4470,184,3,0.0,0.46980587,0.42716596,0.37388086
78,бар,3089,684,1657,1642,1490,4470,184,3,0.0,0.46980587,0.42716596,0.37388086
79,бар,55,16,422,309,226,980,0,3,0.0,0.46980587,0.42716596,0.37388086
80,бар,55,16,422,309,226,980,0,3,0.0,0.46980587,0.42716596,0.37388086
81,қарай,6315,1380,783,534,348,3552,15,5,1.0,0.41637334,0.4179331,0.40038922
82,көп,3454,230,1199,1344,648,5997,203,3,0.0,0.5712729,0.524331,0.46481356
83,бойынша,3800,3192,76,685,121,4987,18,7,2.0,0.4115189,0.3897856,0.34823167
84,көз,2175,245,2308,1206,946,5957,73,3,0.0,0.43430626,0.41265935,0.40332898
85,шығу,2706,204,2002,1923,96,5443,137,4,1.0,0.3693663,0.35361138,0.31596965
86,әйел,2047,387,590,376,711,8154,11,4,1.0,0.43295416,0.4049614,0.3358029
87,басқа,3089,1947,741,886,562,5004,64,5,1.0,0.5344971,0.5239055,0.49221942
88,кез,3152,1167,865,1463,740,4834,161,3,0.0,0.48286125,0.466903,0.4060892
89,дейін,7248,913,156,763,200,2822,0,5,1.0,0.38976827,0.3485416,0.29066578
90,үй,3439,286,2121,962,824,4316,116,2,0.0,0.17035031,0.011574997,-0.058296606
91,қарау,2265,1077,1090,1011,798,5654,68,5,1.0,0.3397122,0.33646932,0.3461899
92,көрсету,2979,1446,482,451,394,6115,38,7,2.0,0.39282188,0.3926448,0.32875726
93,жол,3779,90,912,1399,470,5106,73,3,0.0,0.4352413,0.4580194,0.4065528
94,қызмет,1932,3038,57,865,138,5702,17,6,1.0,0.4019965,0.45918095,0.34802336
95,қол,2947,645,1096,233,1059,5546,69,3,0.0,0.41073808,0.41002753,0.38149992
96,оқу,6156,353,415,884,247,3456,111,3,1.0,0.42981672,0.4200485,0.3709265
97,оқу,6156,353,415,884,247,3456,111,3,1.0,0.42981672,0.4200485,0.3709265
98,оқу,2156,439,117,510,28,1694,0,3,1.0,0.42981672,0.4200485,0.3709265
99,оқу,2156,439,117,510,28,1694,0,3,1.0,0.42981672,0.4200485,0.3709265
100,сонымен,6120,1218,17,915,13,2958,37,7,2.0,0.33662215,0.30971664,0.29034173
101,сонымен,6120,1218,17,915,13,2958,37,7,2.0,0.33662215,0.30971664,0.29034173
102,сонымен,1105,28,121,112,79,516,0,7,2.0,0.33662215,0.30971664,0.29034173
103,сонымен,1105,28,121,112,79,516,0,7,2.0,0.33662215,0.30971664,0.29034173
104,деңгей,1290,845,10,329,8,8736,24,6,1.0,0.26808345,0.2609892,0.21937078
105,бас,2810,876,1024,1143,1045,4085,88,3,0.0,0.44308484,0.42956352,0.4259068
106,қала,3119,1384,579,1420,324,4045,131,4,1.0,0.37947017,0.41101998,0.36836985
107,білдіру,4952,247,110,268,31,5070,15,7,2.0,0.32668212,0.36774176,0.30833226
108,өмір,3919,300,430,822,383,4611,155,4,1.0,0.5349737,0.52879924,0.45333216
109,республика,1330,5674,9,532,15,2305,5,10,3.0,0.33008653,0.33788028,0.32531515
110,немесе,2582,3914,137,330,61,2508,24,6,1.0,0.51201516,0.4631892,0.41366556
111,ие,5274,832,551,192,100,2481,17,2,0.0,0.070577994,-0.00833854,-0.092952244
112,түр,3732,1090,225,501,189,3662,43,3,0.0,0.36235467,0.3645484,0.3288595
113,зерттеу,6577,224,144,115,22,2289,14,7,2.0,0.37574798,0.4178972,0.35342798
114,зерттеу,6577,224,144,115,22,2289,14,7,2.0,0.37574798,0.4178972,0.35342798
115,зерттеу,4209,724,62,30,44,2587,0,7,2.0,0.37574798,0.4178972,0.35342798
116,зерттеу,4209,724,62,30,44,2587,0,7,2.0,0.37574798,0.4178972,0.35342798
117,тапсырма,8400,121,25,106,29,516,11,8,2.0,0.37692285,0.36223787,0.27267066
118,өту,971,105,313,292,511,6875,255,3,0.0,0.325129,0.31236398,0.26838836
119,іш,2072,795,1077,892,417,3772,56,2,0.0,0.07498626,-0.025095122,-0.04860559
120,ең,3008,337,529,837,406,3900,80,2,0.0,0.23825172,0.091922976,0.018871183
121,мемлекет,1882,2057,26,1734,35,3259,17,8,2.0,0.39553085,0.44384873,0.39440045
122,егер,4166,1666,177,694,230,2049,46,4,1.0,0.34802726,0.3320844,0.27935696
123,мәселе,1206,741,47,784,119,5974,31,6,1.0,0.4412313,0.44147846,0.40456182
124,өзі,1606,626,1829,716,486,3585,185,3,0.0,0.46524248,0.44965622,0.41410586
125,бәрі,1351,34,1666,771,1482,3452,24,4,1.0,0.46494582,0.4340292,0.40580043
126,қатысу,1255,1796,29,259,287,5107,23,6,1.0,0.3433759,0.3567721,0.25883132
127,іс,1551,1884,365,751,278,3897,36,2,0.0,0.15943117,0.06381469,-0.0010534835
128,түсу,1709,363,845,637,534,4624,52,4,1.0,0.3297456,0.3274221,0.28335816
